Xtrue.m,Z.m,v.cmd,Direction.TN
8,2.847987802,26.91,260.2
8,1.866697613,17.83,250.9
8,2.019097613,9.11,262.3
8,2.171497613,6.23,246.7
8,2.323897613,24.41,281
8,2.476297613,25.67,241
8,2.628697613,18.08,226.2
8,2.781097613,65.52,290.9
9,3.255337152,6.22,233.6
9,3.407737152,4.23,270.2
9,3.560137152,10.25,201.7
9,3.712537152,6.36,255.6
9,3.864937152,10.52,201.5
9,4.017337152,7.91,224.5
9,4.169737152,6.34,237
9,3.149427686,17.7,221.4
9,3.301827686,3.14,280.1
9,3.454227686,7.74,265.1
9,3.606627686,2.35,252.5
9,3.759027686,8.26,252.5
9,3.911427686,6,239.9
9,4.063827686,11.18,239.9
9,2.22968759,5.46,210.9
9,2.38208759,13.54,210.9
9,2.53448759,20.64,210.6
9,2.68688759,100.4,210.4
9,2.83928759,8.27,209.9
9,2.99168759,39.02,224.2
9,3.14408759,60.85,238.6
9,2.168371584,3.22,255.8
9,2.320771584,15.71,255.8
9,2.473171584,33.36,255.8
9,2.625571584,47.77,246.8
9,2.777971584,15.48,251.5
9,2.930371584,20.16,204.1
9,3.082771584,58.94,204.4
10,3.004498944,17.29,202
10,3.156898944,16.71,202
10,3.309298944,19.26,202
10,3.461698944,13.39,202
10,3.614098944,9.83,218.5
10,3.766498944,7.22,234.7
10,3.918898944,10.83,211.8
10,3.123414835,46.03,211.6
10,3.275814835,45.4,217.8
10,3.428214835,37.25,223.9
10,3.580614835,82.99,213.6
10,3.733014835,73.57,203.3
10,3.885414835,71.8,208.8
10,4.037814835,73.13,213.54
10,2.196242496,23.2,202
10,2.348642496,23.32,203.5
10,2.501042496,21.49,205
10,2.653442496,13.37,206.2
10,2.805842496,25.76,207.4
10,2.958242496,25.05,209.9
10,3.110642496,26.8,203.8
10,2.142358733,40.12,274.6
10,2.294758733,13.73,237.3
10,2.447158733,13.28,230.6
10,2.599558733,14.94,223.8
10,2.751958733,32.71,210.3
10,2.904358733,14.21,206.2
10,3.056758733,20.34,202
11,3.401748442,12.43,179.3
11,3.554148442,17.67,174.1
11,3.706548442,15.63,169
11,3.858948442,9.61,173.3
11,4.011348442,11.64,164
11,4.163748442,10.12,176.4
11,4.316148442,4.99,188.8
11,3.333000192,11.38,176.1
11,3.485400192,17.77,170.9
11,3.637800192,19.89,183.9
11,3.790200192,17.47,196.9
11,3.942600192,4.41,210.1
11,4.095000192,6.08,225.1
11,4.247400192,6.8,225.1
11,2.413260096,12,194.6
11,2.565660096,12.92,196
11,2.718060096,24.59,175.5
11,2.870460096,14.15,228.6
11,3.022860096,17.89,231.5
11,3.175260096,12.43,234.5
11,3.327660096,25.26,170.2
11,2.348227968,20.24,195.9
11,2.500627968,18.19,210.3
11,2.653027968,24.64,198
11,2.805427968,25.91,185.8
11,2.957827968,36.85,165.8
11,3.110227968,40.82,166.2
11,3.262627968,13.97,166.6
12,3.307509158,11.47,182.9
12,3.459909158,15.05,174.7
12,3.612309158,14.85,169.4
12,3.764709158,10.1,201.2
12,3.917109158,11.37,187.7
